Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
30757027,00007FFE,true,Rx,0,8,48,99,32,31,30,37,35,0D,
31942799,00007FFE,true,Rx,0,8,48,99,32,31,30,37,35,0D,
113931780,061F407F,true,Rx,0,0,00,00,00,00,00,00,00,00,
113932711,02007F40,true,Rx,0,8,A0,CF,80,22,7F,FF,01,0E,
240257108,021F407F,true,Rx,0,8,80,00,07,F8,00,00,01,00,
240258904,02007F40,true,Rx,0,8,9D,4B,7F,EE,7F,FF,01,0E,
534047738,021F407F,true,Rx,0,8,80,00,81,F0,00,00,33,33,
534048325,02007F40,true,Rx,0,8,BF,52,80,01,7F,FF,01,0E,
539533861,021F407F,true,Rx,0,8,80,00,87,BA,00,00,33,33,
539534510,02007F40,true,Rx,0,8,BF,51,7F,D9,7F,FF,01,0E,
571376824,061F407F,true,Rx,0,0,00,00,00,00,00,00,00,00,
571377473,02007F40,true,Rx,0,8,BF,52,80,18,7F,FF,01,0E,
583751252,021F407F,true,Rx,0,8,80,00,81,F0,00,00,33,33,
583752026,02007F40,true,Rx,0,8,BF,52,80,19,7F,FF,01,0E,
600519770,081F407F,true,Rx,0,0,00,00,00,00,00,00,00,00,
600520663,08077F40,true,Rx,0,8,BF,52,80,19,7F,FF,01,0E,
